rank,country,federation,competitors_est,track_days_per_year_est,club_meetings_per_year_est,championships_est,intl_patrons_2025,national_patrons_est,data_confidence,flagship,notes
1,Italy,FMI,5200,550,280,18,460192,220000,Mixed,"CIV + Mugello/Misano MotoGP + Misano/Cremona WSBK","Deepest manufacturer + club ecosystem (Ducati, Aprilia, MV). Large velocità licence base via moto clubs; CIV + CIV Junior + regional series."
2,Spain,RFME,4800,480,240,16,800248,180000,Mixed,"JuniorGP/CEV pipeline + 4x MotoGP rounds (2025)","Highest verified international gate (Jerez, Aragon, Catalunya, Valencia). Talent factory feeds MotoGP/WorldSSP. Mild winters sustain year-round track use."
3,United Kingdom,"ACU / SACU",3500,950,220,20,152124,280000,Mixed,"BSB + densest club/track-day scene + Isle of Man TT","Europe's densest motorcycle track-day market (MSV and independents). Bemsee, No Limits, Thundersport, NG, etc. National BSB crowds often exceed Silverstone MotoGP."
4,France,FFM,2800,420,160,12,362838,150000,Mixed,"Le Mans MotoGP (record 311797) + Magny-Cours WSBK","Strong FFM circuit championships and club structure. Single-event MotoGP patronage is the world record (2025)."
5,Germany,DMSB,2600,400,150,11,256441,140000,Mixed,"IDM + Sachsenring MotoGP (256441)","IDM remains a high-level national/superbike series with cross-border grids. Strong ADAC/club and track-day culture on permanent circuits."
6,Japan,MFJ,2200,220,110,10,151596,120000,Mixed,"All Japan RR + Suzuka 8 Hours (61500 in 2025)","Manufacturer-home championship (JSB1000 etc.). Suzuka 8H is the signature international endurance patronage event; Motegi hosts MotoGP."
7,United States,AMA,3200,600,200,14,125806,200000,Estimate,"MotoAmerica + CCS/ASRA/WMRRA regional clubs + COTA MotoGP","Fragmented but large: MotoAmerica (pro) plus multiple regional sanctioning bodies. Wide permanent-circuit footprint; one MotoGP round (Austin)."
8,Australia,MA,1100,180,90,9,140757,95000,Mixed,"ASBK + Phillip Island MotoGP/WorldSBK","High activity relative to population. State club racing (NSW, Vic, Qld, SA, WA) plus ASBK; Phillip Island dual world-championship host."
9,Netherlands,KNMV,950,120,70,7,259066,55000,Mixed,"Assen Cathedral — MotoGP + WorldSBK","Punches far above population: Assen is a dual world-championship venue with ~200k MotoGP weekend fans. ONK and club racing centred on Assen/Zolder/cross-border IDM."
10,Portugal,FMP,650,160,55,6,271163,40000,Mixed,"Portimao MotoGP + Portimao/Estoril WorldSBK","Small domestic grid, outsized international calendar (two WorldSBK rounds + MotoGP). Year-round testing climate draws European track users."
